ticker,gvkey,year,past_12m_return,volatility,roa,operating_margin,debt_to_assets,revenue_growth,current_ratio,log_assets,price_to_sales,price_to_book,roa_change,operating_margin_change,debt_to_assets_change,roa_rel,operating_margin_rel,debt_to_assets_rel,price_to_sales_rel,price_to_book_rel,market_cap
A,126554,2014,0.0078275946257788,0.0139539347621181,0.04653309943680177,0.2175906030654634,0.25500877111993353,0.029342376879976317,3.2314923619271445,9.290167671835738,2.65247392637158,3.495077478293696,-0.021219099702258687,0.005116406663222189,0.002435310517275857,-0.017865927680488683,-0.03551097763861116,0.03830685588191707,-1.8258619341225035,-1.2036623773972033,18516.92048
A,126554,2015,0.0346503444190988,0.0141767057910386,0.053616793688995856,0.21272907379891035,0.22128626821767616,-0.42157284056725397,3.776639344262295,8.919854372191667,3.1045864289252103,3.008476121910247,0.0070836942521940865,-0.004861529266553061,-0.03372250290225737,-0.014094043587388846,-0.04252302177845693,-0.039219337064356485,-0.992091374572154,-1.0646786190132635,12536.32
A,126554,2016,0.1016268456471558,0.0147945876257943,0.059215585747244295,0.22917658257972395,0.2450653678543963,0.040614165428429994,3.8465608465608465,8.962135390066601,3.353925694907187,3.3215167970775394,0.005598792058248439,0.016447508780813608,0.023779099636720147,-0.02138142917812884,-0.04579030483749458,-0.025801587436770745,-0.6132928481391704,-0.9371622849259906,14093.19577
A,126554,2017,0.480579522478848,0.0104319087016965,0.08117730833135534,0.24485688729874777,0.2386660337051982,0.06425511661113759,3.3008709422011084,9.039077442538963,4.898023088103757,4.534042486027738,0.02196172258411104,0.01568030471902382,-0.006399334149198105,0.011568032700908892,-0.028527876442814404,-0.015471306983407457,0.08139621093779681,-0.4416153722187657,21903.959250000004
A,126554,2018,0.0116536155951758,0.0170250330990264,0.036998009600749324,0.2444037444037444,0.21063107364477227,0.09883720930232553,3.286080273270709,9.052633375946147,4.1890018009768015,4.507281552441428,-0.04417929873060601,-0.0004531428950033667,-0.02803496006042594,-0.0537457826805848,-0.03253764467295789,-0.06915003534187417,-0.1739825608013028,-0.08124151775887345,20584.75485
A,126554,2019,0.2753958329345951,0.0154134402946602,0.11330935251798561,0.24675576215378656,0.2546550994498519,0.050671550671550714,1.533173076923077,9.1539816383068,4.53459776292853,4.930945292754845,0.07631134291723629,0.0023520177500421513,0.04402402580507961,0.018828286010366305,-0.043685019548237364,-0.045625814559822064,-0.6340813868446036,0.0032523269615705175,23412.12825
A,126554,2020,0.3875000011600402,0.0230775441511382,0.07468577957826945,0.2507960292189549,0.2635296561753402,0.03408870811543685,2.3278800272665303,9.172326929777967,5.854982921895486,6.414888943156166,-0.03862357293971616,0.004040267065168329,0.008874556725488314,-0.00690381042271597,-0.05832416018251774,-0.02927175715482877,0.06335930527855282,-0.38063944182555254,31259.753819999998
A,126554,2021,0.3550961270727806,0.0130047498481469,0.11303129378794956,0.27314448488684917,0.27192900513778606,0.18355497284135613,2.2242388758782203,9.278466201023782,7.532004734926414,8.831831122657267,0.038345514209680104,0.022348455667894285,0.008399348962445874,0.017841190476824767,-0.056076982322140145,-0.017024858077697158,2.343987292273381,2.568178530123701,47594.73792000001
A,126554,2022,-0.0624500578513392,0.0222351601221987,0.11906570451955943,0.2872371495327103,0.2773452335738701,0.08371577781294515,2.030091348737238,9.2621735206162,5.965111368282711,7.700109830348729,0.006034410731609874,0.01409266464586112,0.005416228436084025,0.02462293124059292,-0.03936597029126021,-0.0010390866040136393,1.1397231213610137,2.5796388926816043,40849.082650000004
A,126554,2023,-0.0529473507449113,0.0168613861007053,0.11520951407600112,0.25040245865651983,0.2693486946018768,-0.0021904205607476968,2.611353711790393,9.283869605264298,4.419252818674082,5.166253979469632,-0.0038561904435583105,-0.03683469087619046,-0.007996538971993261,0.0364757297091451,-0.04281269963651396,-0.013747545690915963,-0.4328142597428819,0.11091310324930959,30196.75451
A,126554,2024,-0.0270290640151523,0.0163364828741498,0.10881310146885025,0.2837173579109063,0.3017052169508695,-0.04727059856578375,2.0891820580474936,9.37974553683691,5.708678929339478,6.301034220074602,-0.006396412607150875,0.033314899254386465,0.03235652234899267,0.04717096891535803,-0.023796313897356813,-0.006116125708898634,1.0642131911816977,1.3688146062950626,37163.49983
A,126554,2025,0.0120533975482288,0.0198369622671047,0.10238076530211361,0.27806563039723664,0.2783845368115031,0.06728110599078341,1.9573924158500213,9.451480999992047,5.962547990788716,6.145643589971814,-0.006432336166736635,-0.005651727513669658,-0.02332068013936639,0.024007083089690642,-0.01974722474363444,0.0,0.7891505788402053,1.3568458999857436,41427.78344
ABBV,16101,2014,0.279182390377356,0.0155529335521669,0.06439902711729045,0.3381763527054108,0.5449232221294514,0.06226716338477911,1.4112280701754385,10.223648915729836,5.2174597274549095,59.78214475315729,-0.07698051942699341,-0.04564482877409959,0.04067635590573748,0.0,0.08507477200133623,0.32822130689143497,0.739123866960826,55.083404897466394,104140.49616
ABBV,16101,2015,-0.0650073118988853,0.020019236393483,0.09696512723845428,0.4222844393892996,0.5970028275212064,0.14524048096192388,1.4975215715072516,10.87899014404213,4.172101199527539,24.174920486692017,0.03256610012116383,0.0841080866838888,0.052079605391754935,0.02925428996206958,0.16703234381193233,0.3364972222391737,0.07542339603017467,20.101765745768507,95370.06132000001
